job_title,company,job_location,post_date,salary,job_url,job_description
Data Engineer II,2K,"Austin, TX",,,https://www.indeed.com/rc/clk?jk=ce0e3a617afe0145&fccid=824f64d0ff3c8c8f&vjs=3,"Who We Are
 2K is headquartered in Novato, California and is a wholly owned label of Take-Two Interactive Software, Inc. (NASDAQ: TTWO). Founded in 2005, 2K Games is a global video game company, publishing titles developed by some of the most influential game development studios in the world. Our studios responsible for developing 2K's portfolio of world-class games across multiple platforms, include Visual Concepts, Firaxis, Hangar 13, CatDaddy, Cloud Chamber, 31st Union, and HB Studios. Our portfolio of titles is expanding due to our global strategic plan, building and acquiring exciting studios whose content continues to inspire all of us! 2K publishes titles in today's most popular gaming genres, including sports, shooters, action, role-playing, strategy, casual, and family entertainment.
 Our team of engineers, marketers, artists, writers, data scientists, producers, thinkers and doers, are the professional publishing stewards of our growing library of critically-acclaimed franchises such as NBA 2K, 2K PGA, Battleborn, BioShock, Borderlands, The Quarry, The Darkness, Mafia, Sid Meier's Civilization, Marvel's Midnight Suns, WWE 2K, and XCOM.
 At 2K, we pride ourselves on creating an inclusive work environment, which means encouraging our teams to Come as You Are and do your best work! We encourage ALL applicants to explore our global positions, even if they don't meet every requirement for the role. If you're interested in the job and think you have what it takes to work at 2K, we encourage you to apply!
 What We Need
 Data is the lifeblood of everything we do. We are a data-driven organization providing data products and insights throughout the 2K organization and related companies. We work directly with a wide variety of partners, from executive management to studio heads to analysts. We also partner in providing data to our players in the form of campaigns, promotions, and machine learning-based data products and recommendations.
 What You Will Do

You will work in the capacity of a Data Engineer focusing on the data deliverables for Business and Studio Ingesting third-party data into our data lake and warehouse.
You will work with different vendor APIs and services. Working with vendor partners to understand the data they are providing, and document the data sets, lineage, and flows.
Designing and building data models to support Data Science, Business Intelligence, and downstream data sets. Building APIs and data products to better integrate data throughout our systems and processes. Monitoring the data pipelines and communicating any issues to leadership and partners.
Working closely with business partners and developers to ensure proper requirements are documented and agreed to for our different initiatives. Partnering with developers and leadership to coordinate cross-function and cross-team efforts

What Will Make You a Great Fit

3+ years of professional experience as a Data Engineer in a fast-paced environment. An expert developer using SQL and SQL-like query languages
Have a strong understanding of different data modeling methodologies (Kimball, Inmon, Data Vault). You understand when to apply the correct techniques to solve different problems on different technologies in our stack.
Have deep expertise in Python and have experience organizing Python-based projects. You've built software services and APIs using Python frameworks such as Flask.
Experience with both proprietary and open-source big data technologies and platforms (Snowflake, Vertica, Hive, Spark, Presto, Airflow).
Worked in a cloud environment (AWS, Azure, GCP).
Experience defining and crafting automated unit and integration testing frameworks for data projects.
Functional understanding of different privacy and compliance practices around data (GDPR, CCPA).
Excellent collaborator by tailoring your communication for different audiences and ensuring effective communication between developers, partners, and leadership.

Bonus Points

Video game and/or entertainment and media industries

As an equal opportunity employer, we are committed to ensuring that qualified individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform their essential job functions, and to receive other benefits and privileges of employment. Please contact us if you need reasonable accommodation.
 Please note that 2K Games and its studios never uses instant messaging apps or personal email accounts to contact prospective employees or conduct interviews and when emailing, only use 2K.com accounts. 
#LI-Onsite #LI-BN1"
Data Engineer,Informa Tech,"Austin, TX",,,https://www.indeed.com/rc/clk?jk=4e38cab1a91432ef&fccid=723cd490904b231f&vjs=3,"Company Description
  Informa Tech informs, educates and connects the technology community through world-class research, training, events and media. A vibrant community of over 1,000 colleagues across 19 locations, we’re dedicated to inspiring the tech community to design better, to build better.
 Which is why we champion you, the individual, to make an impact through change and innovation. Life at Informa means more freedom and fewer barriers. Our entrepreneurial spirit runs deep, encouraging our team to stick their hands up to spark innovation, or get stuck in to deliver amazing results. It’s time to feel the impact of your work and enjoy making a difference. Are you ready to start your future, today?



 Job Description
  Purpose of Role
 This Data Engineer is a member of the Data & Analytics Community at Informa Tech and is a unique role among a group of Data Analysts in the Central Data & Analytics team within Informa Tech’s Strategy department. They will develop and maintain solutions to support the collection, storage, enrichment, and delivery of data from across our varied businesses practices. The successful candidate will work with cross-functional teams to help design, build, test, deploy, maintain, and enhance pipelines and tools to improve business data accessibility, quality, transparency, and understandability.
 Key Responsibilities

 Developing and maintaining tools, processes, and pipelines needed to successfully (reliably, on time, and at high quality) deliver critical data products from most business data domains (audience development, event registration and sponsorship, client and product—e.g. SalesForce, HR/people, and more) into internal user-facing platforms.
 Supporting all phases of the software development life cycle, including plan, design, implement, test/integrate/deploy, and maintain
 Evaluating requests for new datasets by assessing their feasibility, development effort, and value
 Managing relationships with technical (e.g. data analysts, data product managers, marketing platform admins, other data/technology teams) and business user (e.g. marketing, sales, events, content) stakeholders of all levels, including identifying and resolving risks/issues, prioritizing work, and organizing/attending stakeholder meetings and other communications
 Acting as an interface between the Informa Tech Data Analytics Community and other data engineering colleagues/teams within Informa Tech and Informa Group.
 Implementing best practices for data tooling, testing, and implementation; training internal users, coordinating with peers throughout Informa Tech and Informa Group to share knowledge and best practices; participate in relevant data governance processes
 Regularly soliciting, evaluating, and prioritizing feedback to continuously improve data products and processes
 Staying up to date on current and emerging industry best practices, tools, and techniques




 Qualifications
  Experience & Qualifications

 Familiarity with the entire data life cycle
 Demonstrable success building data pipelines (ingestion, cleansing, and ETL/ELT) with cloud platforms (AWS, Power BI Service—Power Query and data flows/data sets/data marts—any Microsoft Fabric experience a plus, Alteryx, Apache Airflow, etc.)
 Successful track record in building and maintaining data tools in SQL
 Experience in scripting/programming languages (e.g., Python, R, VBA, VB.Net, C#, etc.)
 Familiarity with reporting and visualization tools such as Power BI and Tableau
 Experience in documenting processes, procedures, and standards
 Prior experience collaborating with Business Analyst and Product Owner roles to effectively develop products (especially data products) a plus
 Prior experience working under Agile frameworks (Kanban, Scrum) and familiarity with related tools (Jira, Rally/CA Agile Central, Smartsheet, etc.) a plus
 Experience and comfort interacting with stakeholders and consumers across the business
 Process improvement qualification or experience (e.g., Lean/Six Sigma) a plus
 Academic or professional experience related field(s) (e.g., Data Analytics, Statistics, Software Engineering, Computer Science, Information Technology, Mathematics, Engineering) a plus

 Knowledge & Skills

 A genuine affinity for problem solving - having an inquisitive and positive mindset to overcome complex challenges
 Entrepreneurial spirit – able to constructively question and criticize existing processes, identify potential for new processes, advocate for identified enhancements to convince stakeholders, and proactively pursue execution (including self-organizing with related colleagues)
 Product-centric mindset (as opposed to project-centric) to deliver value early and continuously, including understanding and embracing the product life cycle
 Strong attention to detail and proactive in highlighting and resolving errors/issues
 Communication and presentation skills and ability to collaborate effectively across groups and time zones

 Additional Information
  Just as no two days are the same, at Informa Tech we recognise that no two people are the same, putting diversity and inclusivity at the heart of what we do. This doesn’t happen by chance. We actively work to create a shared culture. It’s a place where individuals bring their own experience and insights to discover new opportunities and build a varied career. We want you to thrive as part of a fantastic community. We champion you."
Software Engineer - Data,SpyCloud,"Remote in Austin, TX",,,https://www.indeed.com/rc/clk?jk=8a2afee93e316671&fccid=f1381f0c25abcd2f&vjs=3,N/A
Data Engineer,OneSource Regulatory,"Austin, TX 73301 (St Edwards area)",,,https://www.indeed.com/rc/clk?jk=1b88651c1c70c2ec&fccid=13c11dac3d323b9a&vjs=3,"Company Introduction
 OneSource Regulatory Technology hosts a number of innovative solutions to enhance job performance in the Pharmaceutical space. OSR Technology is looking for an experienced and dedicated data engineer to join our product solutions team!

 
Job Description
 OneSource Regulatory is trying to identify a full-time contractor with at least 4+ years of experience to assist us with ongoing R&D projects.
 We are looking for a data engineer to pull data from various sources and do all the necessary steps to clean, normalize, possibly annotate, and finally load the data into databases. The candidate should be able to develop and implement a strategy for testing the data integrity of the collected data. This role requires extreme attention to detail to ensure data quality is top priority.

 Responsibilities

Well versed in parsing and synthesizing of XML and/or JSON documents.
Curating of data that can involve some intermediate to advanced web scraping. (data may need to be fetched via SFTP, FTP, Wget, Curl, REST APIs, GraphQL queries from spots on the Internet)
Proficiency with Linux command line and various simple tools, such as grep, wc, sed, awk, find, ls, cat, piped commands and possibly some very light Bash shell scripting, setting up crontab schedules and programs
Must have basic knowledge of SQL with the following databases: PostGres, MySQL, Google BigQuery
Must have basic knowledge of No-SQL database knowledge such as MongoDB or similar
Familiarity with basic Cloud technology such as storage buckets, cloud serverless functions
Must have experience extracting text and images from PDF files
Knowledge of Puppeteer or other automatable web client technologies
Understanding JavaScript, HTML/CSS and HTTP methods (for understanding page structure for web scraping)


Skills

Solid experience with Python and Python Libraries such as Pandas, requests, etc
Skill set should match up with required responsibilities listed above
Strong English skills (e.g. grammatical analysis and rhetorical structure)
Team Player
Great communication skills



 Bonus Skills

Experience within the Pharmaceutical Space
Ability to expose data via C# NETCore and/or GraphQL
Google Cloud Platform (Cloud Buckets, Google Cloud Functions (.NET, Python, Node.JS))
Ability to parallelize data manipulation and scraping via Python multi-threading, etc.
Python BeautifulSoup
Scrapy
Docker (setting up Kubernetes style processing if warranted for data scraping/data ingestion/normalization)
Multithreading concepts"
Product Data Engineer,uStudio,"Austin, TX",,,https://www.indeed.com/rc/clk?jk=66fa55b8ae7bcd4e&fccid=1072196173bf7264&vjs=3,"We are looking for an experienced Product Data Engineer.
 uStudio seeks an energetic and creative data engineer to join our product and platform team and help us as we build a rich and intuitive suite of media products atop a proven enterprise media platform.




Send résumé to jobs@ustudio.com












As a company, our goal is straightforward: evolve enterprise communication beyond traditionally text-based solutions through our secure media applications including podcasting, live streaming, and media distribution. As a development team, we support this goal by building a family of web and mobile applications and intuitive APIs. We employ test-driven development and pair-programming to ensure our code is robust and iteration-friendly while collaborating to identify and refine solutions to our customers’ problems.
 Reporting is a fundamental part of our value to our customers. Video and audio experiences offer a deeper understanding of viewer engagement than any other medium, and we need our products’ analytics tools to demonstrate that clarity and power.
 We:

Provide competitive salaries with great benefits
Work in small pair-programming teams with continuous, agile releases
Value test-driven development
Strive to provide the best tools for our developers
Prioritize API development and extensible solutions
Enjoy exploring new technologies without blindly following trends
Extensively utilize (and contribute to) open source projects
Believe that diversity of experience, perspectives, and background leads to a better workplace and better products

You:

Desire to build out modern, intuitive, and comprehensive reporting products
Think beyond pure numeric representation and consider complete product experience when designing data solutions
Have experience in one or more modern language(s). (Python, Javascript, and SQL are a plus.)
Have experience with a variety of databases
Have experience with one or more modern data / ML frameworks
Eagerly ask questions and dive into codebases to get the necessary context for improving and aggregating metrics
Learn new technologies rapidly (and love doing so)
Are comfortable building clients for various API standards (REST, RPC, etc.)
Deploy your own code (or are excited to start)
Have a proven track record delivering strong, stable software"
Data Engineer,"Phunware, Inc","Austin, TX 78757 (Allandale area)",,,https://www.indeed.com/rc/clk?jk=cc1f9a67bd5bb5fe&fccid=7dd797e7bdfd7d63&vjs=3,"Since our founding in 2009, we’ve relentlessly worked toward a vision of a future powered by Phunware. We spend our days obsessing over how best to design, build, launch, promote and support branded apps that engage, compel and delight the world’s most discerning audiences. For over a decade, we’ve helped Fortune 5000 businesses throughout the mobile app lifecycle with data-backed decisions at every step.
Everything You Need to Succeed on Mobile — Transforming Digital Human Experience
Phunware, Inc. (NASDAQ: PHUN), is the pioneer of Multiscreen-as-a-Service (MaaS), an award-winning, fully integrated enterprise cloud platform for mobile that provides companies the products, solutions, data, and services necessary to engage, manage and monetize their mobile application portfolios and audiences globally at scale. Phunware’s Software Development Kits (SDKs) include location-based services, mobile engagement, content management, messaging, advertising, loyalty (PhunCoin & Phun) and analytics, as well as a mobile application framework of pre-integrated iOS and Android software modules for building in-house or channel-based mobile application and vertical solutions. Phunware helps the world’s most respected brands create category-defining mobile experiences, with more than one billion active devices touching its platform each month.
If you share our passion for innovative mobile app experiences and dream of a world empowered by seamless, one-to-one interactions, we want to hear from you. Get in touch with us today—our Phamily always has room for one more!
Job Summary:
Phunware is seeking a Data Engineer with hands-on experience creating, deploying and optimizing large-scale data systems.
The ideal candidate will bring strong technical skills and be proactive, responsive and very comfortable dealing with ambiguity. He or she will also bring good experience with Big Data systems/technologies and have a strong track record of deployment, maintenance, and optimization of production code.
The ideal candidate is someone who combines an understanding of business processes with knowledge of both client and server-side technical requirements in mobile software projects. They will put the customer first, quickly build strong relationships, learn rapidly, and enjoy autonomy and problem-solving. They must be a gifted leader with a genuine passion for working with high-performance teams, extraordinarily organized., and have a strong work ethic. Additionally, the position may require travel both domestically and internationally.
What You’ll Do:

Create robust, high-volume production systems/architectures, and develop prototypes quickly
Work with development teams to design maintenance and support strategies
Create optimized workflows using relevant technologies (Spark, Elastic Search, Kafka, Oozie, Hadoop)
Create architectural workflows, diagrams, and specification documents to help define platform features/functionality
Perform experiments and analyze results to improve the performance and quality of algorithms
Work with product management and executive stakeholders to take detailed requirements and implement them using Agile Test Driven techniques
Work in an organized team-oriented environment with shared responsibilities


What You’ll Bring:

Bachelor’s Degree or higher in Computer Science or Computer Engineering; Master’s Degree preferred
Have previously worked in Big Data technologies and deployed in production environment
Strong experience in building highly scalable, available and responsive systems using open-source software tools and technologies
5-10 years of professional software development
5-8 years strong Java development experience
Good experience with REST API frameworks
Strong SQL skills
1+ years of professional software development experience with some of the big data technologies including: Spark, Map Reduce, Hive, HBase, Hadoop, Kafka, Impala, Cassandra
Experience in Elastic Search is highly desirable
Some experience with one or more of the following will be an added advantage: statistical analysis, machine learning, natural language processing, predictive modeling
Domain experience in one or more of the following:
Outstanding skills for interacting with people
Responsible, organized and hardworking with excellent communication skills
Must be living in the Irvine, CA or Austin, TX area or be able to immediately relocate


Desirable:

NoSQL or similar DB design/implementation experience with large number of records (i.e. 1 Billion+)
Experience with information retrieval, network programming and/or developing large software systems
Experience with cloud delivery platforms, ideally Amazon
Experience doing Test Driven Development (TDD), Continuous Integration (CI) and test automation
Open-source software contributions
Track record of success in a start-up or high-growth environment


Compensation and Benefits:

Fun, casual, fast-paced work environment filled with talented colleagues
Flexible paid time off
Competitive salary
Restricted Stock Units
Full range of benefits, including 401(k), medical, dental and vision coverage 


Candidates for this position must be authorized to work in the United States and not require work authorization sponsorship by our company for this position now or in the future."
Data Engineer,Purple Drive Technologies,"Austin, TX",,"$81,233 - $110,061 a year",https://www.indeed.com/company/Purple-Drive-Technologies/jobs/Data-Engineer-be8aefe516837053?fccid=b50885016c495d25&vjs=3,"Position: Data Engineer
Location: Austin, TX (Onsite)
Duration: Full Time
Job Qualifications / Requirements:

Deep knowledge and hands-on experience working with cloud data platform technologies in AWS, and scripting language Python


Strong experience in Spark


Strong experience in Kafka

Job Type: Full-time
Salary: $81,233.39 - $110,060.94 per year
Schedule:

8 hour shift

Ability to commute/relocate:

Austin, TX 78652: Reliably commute or planning to relocate before starting work (Required)

Experience:

Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)

Work Location: In person"
Data Engineer,Acrisure Technology Group,"Hybrid remote in Austin, TX",,,https://www.indeed.com/rc/clk?jk=dc3f6bcbc33c198e&fccid=5756f855d0a2475d&vjs=3,"Data Engineer
 Hybrid Position (3 days per week average in Downtown Austin, TX or Grand Rapids, MI office)
 Note: This is a full-time, in-house position. We do not offer C2C or C2H employment and are not able to sponsor visas for this position.
 Acrisure Technology Group (ATG) is a fast-paced, AI-driven team building innovative software to disrupt the $6T+ insurance industry. Our mission is to help the world share its risk more intelligently to power a more vibrant economy. To do this, we are transforming insurance distribution and underwriting into a science.
 At the core of our operating model is our technology: we're building the premier AI Factory in the world for risk and applying it at the center of Acrisure, a privately held company recognized as one of the world's top 10 insurance brokerages and the fastest growing insurance brokerage globally. By using the latest technology and advances in AI to push the boundaries of understanding risk, we are systematically converting data into predictions, insights, and choices, and we believe we can remove the constraints associated with scale, scope, and learning that have existed in the insurance industry for centuries.
 We are a small team of extremely high-caliber engineers, technologists, and successful startup founders, with diverse backgrounds across industries and technologies. Our engineers have worked at large companies such as Google and Amazon, hedge funds such as Two Sigma and Jump Trading, and a variety of smaller startups that quickly grew such as Indeed, Bazaarvoice, RetailMeNot, and Vrbo.
 The Role
 The Business Intelligence team's mission is to unify data across the enterprise to optimize business decisions made at the strategic, tactical, and operational levels of the organization. We accomplish this by providing an enterprise data warehouse, data lake, reporting platform, and business processes that provide quality data, in a timely fashion, from any channel of the company and present them in such a manner as to maximize the value of that data for both internal and external customers.
 The Data Engineer is responsible for designing and developing moderate to complex ETL processes required to populate a data lake and structured data warehouse which supply data for the machine learning, AI & BI teams. Responsibility includes working with a team of contracted developers as well as coaching and mentoring junior and mid-level developers. Ensuring high quality and best practices are maintained through the development cycle is key to this position.
 You will interact with some of the top technologists on the planet. Our technology runs on Google Cloud and is configured with Kubernetes, leveraging various services in that environment. Our data storage layer includes BigQuery, BigTable, and Postgres. We code primarily in Kotlin, Python, Java, and JavaScript and make use of many frameworks, including Dataflow, Cloud AI Platform, KubeFlow, Spring, and React.
 Here are some of the ways in which you'll achieve impact

Leverage established guidelines and custom designs to create complex ETL processes to meet the needs of the business
Develop from strategic and non-strategic data sources including data preparation/ETL and modeling for data visualizations in a self-service platform
Contribute to the definition and development of the overall reporting roadmap
Translate reporting requirements into reporting models, visualizations and reports by having a strong understanding of the enterprise architecture
Standardize reporting that helps generate efficiencies, optimization, and end user standards
Integrate dashboards and reports from a variety of sources, ensuring that they adhere to data quality, usability, and business rule standards
Independently determine methods and procedures for new or existing requirements and functionality
Work closely with analysts and data engineers to identify opportunities and assess improvements of our products and services
Contribute to workshops with the business user community to further their knowledge and use of the data ecosystem
Produce and maintain accurate project documentation
Collaborate with various data providers to resolve dashboard, reporting and data related issues
Perform Data Services reporting benchmarking, enhancements, optimizations, and platform analytics
Participate in the research, development, and adoption of trends in reporting and analytics
Mentor BI Developers and BI Analysts
Other projects as assigned in order to support necessary business goals across teams

You may be fit for this role if you have

Minimum 5 years required, particularly in an Azure environment with Azure Data Bricks, Azure Data Factory, Azure Data Lake
Minimum 5 years designing data warehouses, data modeling, and end-to-end ETL processes in a MS-SQL environment
Minimum 2 years developing machine learning models with Azure ML, ML Flow, BQML
Expert working knowledge of SQL, Python and Spark (and ideally PySpark) with a demonstrated ability to create ad-hoc SQL queries to analyze data, create prototypes, etc required.
Successfully delivered 2+ end to end projects – from Inception to Execution - in Data Engineering / Data Science / Data Integration as a Tech Senior/Principal
Ability to Analyze, summarize, and characterize large or small data sets with varying degrees of fidelity or quality, and identify and explain any insights or patterns within them.
Experience with multi-source data warehouses
Strong skills in in data analytics and reporting, particularly with Power BI
Experience with other cloud environments (GCS, AWS) a definite plus
Strong experience creating reports, dashboards, and/or summarizing large amounts of data into actionable intelligence to drive business decisions required
Strong understanding of core principles of data science and machine learning; experience developing solutions using related tools and libraries
Hands on experience building logical data models and physical data models and using tools like ER/Studio/Idera
Write SQL fluently, recognize and correct inefficient or error-prone SQL, and perform test-driven validation of SQL queries and their results
Proficient in writing Spark sql using complex syntax and logic like analytic functions etc.
Well versed in Data Lake & Delta Lake Concepts
Well versed in Databricks usage in dealing with Delta tables (external \ managed)
Well versed with Key Vault \ create & maintenance and usage of secrets in both Databricks & ADF
Should be knowledgeable in Stored procedures \ functions and be able to use them by ADF & Databricks as this is a widely used Practice internally
Familiar with DevOps process for Azure artifacts and database artifacts
Well versed with ADF concepts like chaining pipelines, passing parameters, using APIs for ADF & Databricks to perform various activities.
Experience creating and sharing standards, best practices, documentation, and reference examples for data warehouse, integration/ETL systems, and end user reporting
Apply disciplined approach to testing software and data, identifying data anomalies, and correcting both data errors and their root causes

Academics: Undergraduate degree preferred or equivalent experience along with a demonstrated desire for continuing education and improvement
 Location: Austin, TX or Grand Rapids, MI
 We are interested in every qualified candidate who is eligible to work in the United States. We are not able to sponsor visas for this position.
 #LI-Hybrid"
"Software Engineer, Data",Acrisure Technology Group,"Hybrid remote in Austin, TX",,,https://www.indeed.com/rc/clk?jk=6791f9f7256ede81&fccid=5756f855d0a2475d&vjs=3,"Software Engineer, Data
 Hybrid Position (3 days per week average in Downtown Austin, TX office)
 About us:
 Acrisure Technology Group (ATG) is a fast paced, AI-driven team building innovative software to disrupt the $6T+ insurance industry. Our mission is to help the world share its risk more intelligently to power a more vibrant economy. To do this, we are transforming insurance distribution and underwriting into a science.
 At the core of our operating model is our technology: we're building the premier AI Factory in the world for risk and applying it at the center of Acrisure, a privately held company recognized as one of the world's top 10 insurance brokerages and the fastest growing insurance brokerage globally. By using the latest technology and advances in AI to push the boundaries of understanding risk, we are systematically converting data into predictions, insights, and choices, and we believe we can remove the constraints associated with scale, scope, and learning that have existed in the insurance industry for centuries.
 We are a small team of extremely high caliber engineers with a diverse background across industries and technologies. Our engineers have worked at large companies like Google and Amazon, high frequency trading companies like Two Sigma and Jump Trading, and a variety of smaller startups, including successful startup founders.
 The Role:
 As a Software Engineer focused on Data Engineering, you'll be an essential part of the team building world-class software to transform the insurance industry. Working closely with engineers, researchers, product and design talent, and domain experts, you will design and implement new data processing systems that enable both cutting edge research, and high quality user experiences. As a successful candidate, you will take full advantage of state-of-the-art tools, conceiving of new ones when the right solution does not yet exist. You are driven by a passion for improving the world through technology and delighting users. Help us to turn vision into reality.
 Our technology runs on Google Cloud and is configured with Kubernetes, leveraging various services in that environment. Our data storage layer includes BigQuery, BigTable, and Postgres. We code primarily in Kotlin, Python, Java, and JavaScript and make use of many frameworks, including Dataflow, Cloud AI Platform, KubeFlow, Spring, and React.
 Here are some of the ways in which you'll achieve impact:

Build efficient and reliable technology with a customer-first mindset.
Assist in designing and maintaining our tech stack, building when it makes sense, inventing when necessary, and upgrading as tools evolve.
Identify, adopt, and evangelize best practices.
Advocate for and identify creative implementations to optimize business impact.
Measure the effectiveness of new features, find and address performance issues, and drive continuous improvement.
Work collegially and effectively as we grow a world-class, diverse engineering team.

You may be a fit for this role if you have:

4+ years of experience in a Data Engineering or similar role using modern data processing techniques.
Exceptional knowledge of computer science fundamentals and software engineering principles, as well as expertise with distributed data processing.
Experience writing recurring data ingestion and validation pipelines across multiple data sources.
Strong knowledge of data architecture and modeling best practices.
Expert level SQL experience.
A product- and customer-focus, with a passion for delighting the end user using data.
An excitement about the opportunity to use data and AI to transform the insurance industry.
An entrepreneurial spirit and are action-biased; self-directed and excited to build something from scratch in a fast-paced, experimentation-driven environment.
Strong communication skills that allow you to be effective in a cross-functional team, as well as deliver data driven insights.
Ability to stamp out unnecessary complexity, harness necessary complexity, and make complex topics clear and accessible to others.
Empathy, kindness towards others, a positive attitude, and self-awareness.
A unique, non-traditional perspective to enhance our team's problem solving abilities.

Academics: Bachelor's degree in Computer Science or a related field, or equivalent experience.
 Location: Must be willing and able to work in the Austin,TX office an average of 3 days a week or as business needs permit.
 #LI-Hybrid #BI-Hybrid"
GCP Data Engineer,Sintesys,"Austin, TX",,"$70,000 - $120,000 a year",https://www.indeed.com/company/SINTESYS/jobs/Data-Engineer-33dfde94d71ff8c6?fccid=8521deabffa13eec&vjs=3,"Job Description - GCP Data Engineer
The Role: Emids are looking for an experienced Data Engineer who can help move on-prem Hadoop workloads to Google Cloud (GCP).
Responsibilities:
Export data from the Hadoop ecosystem to ORC or Parquet file
Build scripts to move data from on-prem to GCP
Build Python/PySpark pipelines
Transform the data as per the outlined data model
Proactively improve pipeline performance and efficiency ‘Must Have’ Experience: 4+ years of Data Engineering work experience
2+ years of building Python/PySpark pipelines
2+ years working with Hadoop/Hive 4+ years of experience with SQL Any cloud experience – AWS, Azure, GCP Experience with Data Warehousing & Data Lake
Understanding of Data Modeling
Understanding of data files format like ORC, Parquet, Avro
General requirements:
*Open to relocation (very important)
- Excellent communication skills
- Professional english
- Good attitude
- Committed
- Flexible
Job Type: Full-time
Salary: $70,000.00 - $120,000.00 per year
Benefits:

Health insurance
Life insurance

Experience level:

6 years
7 years

Schedule:

8 hour shift

Application Question(s):

Are you a US citizen or have a green card?

Education:

Bachelor's (Required)

Experience:

Google Cloud Platform: 6 years (Required)

Work Location: In person"
