job_title,company,job_location,post_date,salary,job_url,job_description
Senior Data Engineer,Etainement,"Flower Mound, TX",EmployerActive Today,"$140,000 - $200,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Axsm1kqmNbOoV7ZWG73X0b__pIExLy604NOm_-6xaU1Tg7-VL6nvjJAfK0kMeERTDHLrFFOCH2IzcZs3j8HHjs2u-NS5NpW_D_aLCnMTk_dhLWPO65T0iUrrgoVirZ8erBiiDqaHI74_GIKTmdJ3SNqlx6yYL061A7ujgpafBIAe55mdfRkWaf89vF-yg8tBLJHS_iSdzBeLgQPrJr-B0uqk8JUbVMWWVpWMkkPBpHJNV6J1HUWVyfhZMczib_FJui9dXl5ZOS2TEjTSKl84fY1CkHGxWsZyFE_1ZugS6JUBfEnELTzjnxkNj9UffQUd5EwenR0PixMXBeJWgHRvUnzHgfxmda9-6s8Yo7xQ-Z7Acfma-LqHnyNiAgz981shbbHpuHoaWgToEik2wuPiRkPZBACSF_EToJ0wgfD7VFQNL850VDVzecV_V_Y07KUnA1KSuY6AIUAUSnlg0w3vNzBixGyPqpl8ckeMkqYr6dwwpiQ7udEzJ6Le6baoEjwgVfQVbPz23IjJHaFeaDrojd&xkcb=SoDm-_M3ML2tGex8Zx0JbzkdCdPP&p=0&fvj=1&vjs=3,"Etainement is a leader in live event ticket pricing, data and distribution. We trade live event tickets, including concerts, sports and theatre across multiple online marketplaces using data and proprietary technology.
https://etainement.co/
We are seeking a Senior Data Engineer to develop and maintain our technology and analytics stack. As a Senior Data Engineer, you must have a proven history of designing and implementing scalable data infrastructure that enables the efficient and effective analysis of large and complex data sets. You should be skilled in database querying, data modeling and ETL processes with diverse data sources. You should be enthusiastic about data and proficient in various tools to deliver precise results. You should have experience supporting data analytics for multiple departments, possessing a comprehensive understanding of the business to provide a data infrastructure that drives success. You are a team player, who excels in fast-paced environments and collaborating with cross-functional teams.
RESPONSIBILITIES & JOB DUTIES (INCLUDE, BUT ARE NOT LIMITED TO):

Develop and maintain cloud data pipelines for use in analytics and machine learning.
Build and manage databases and infrastructure to ensure data accuracy, scalability and integrity.
Access, acquire, organize, transform and clean data from internal and external sources as needed.
Create and maintain data models for analysis and insights.
Triage and troubleshoot technical issues that arise while helping to see them through to resolution.
Work closely with the development team and stakeholders to flesh out requirements and solution design.

REQUIRED QUALIFICATIONS:

Experience with cloud data services, including Big Query, Cloud Run, Cloud Functions or cloud equivalents.
4+ years of experience as a Data Engineer, or related role.
Excellent oral and written communication skills and keen attention to detail.
Proven ability to work independently or as part of a team.
Have advanced knowledge of commonly used concepts, practices and procedures with data analytics and administration of cloud data platforms.
Some experience in small or medium-sized projects as a lead or SME (subject matter expert).
Strong understanding of data modeling, querying and transformation processes.
Excellent problem-solving skills.

PREFERRED QUALIFICATIONS:

Experience with different programming languages related to building data pipelines and analyzing data, such as SQL, Python or R.
Proven experience building and managing cloud data pipelines and infrastructure in GCP or similar cloud environments.
Experience with ETL tools, such as SSIS, Azure Data Factory or AWS Glue.
Experience working on teams solving Revenue Management (RM), forecasting and inventory optimization problems.
Familiarity with the event ticketing industry.

Job Type: Full-time
Pay: $140,000.00 - $200,000.00 per year
Benefits:

Flexible schedule
Paid time off

Compensation package:

Bonus pay

Experience level:

4 years

Schedule:

Monday to Friday

Work Location: In person"
Data Engineer,Malin USA,"Hybrid remote in Addison, TX 75001",PostedToday,Full-time,https://www.indeed.com/company/Malin-A-Raymond-Company/jobs/Data-Engineer-4250894ed590c591?fccid=758977ef84686043&vjs=3,"***NO SPONSORSHIP AT THIS TIME***
Data Engineer Duties and Responsibilities
· Assemble large, complex sets of data that meet non-functional and functional business requirements
· Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes
· Building required infrastructure for optimal extraction, transformation and loading of data from various data sources using AWS and SQL technologies
· Building analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics including operational efficiency and customer acquisition
· Working with stakeholders including data, design, product and executive teams and assisting them with data-related technical issues
· Working with stakeholders including the Executive, Product, Data and Design teams to support their data infrastructure needs while assisting with data-related technical issues
Skills and Qualifications
· Ability to build and optimize data sets, ‘big data’ data pipelines and architectures
· Ability to understand and build complex data models for Power BI reporting.
· Ability to perform root cause analysis on external and internal processes and data to identify opportunities for improvement and answer questions
· Excellent analytic skills associated with working on unstructured datasets
· Ability to build processes that support data transformation, workload management, data structures, dependency and metadata
Must Have experience in (in order of importance)
· 10 + years experience as a Data Engineer or similar role.
· SQL Server
o T-SQL code
o Administrator functions
· Data Factory
o Python
· Power BI
o DAX code
o M code
· Azure
Malin is an Equal Opportunity Employer -- M/F/Veteran/Disability/Sexual Orientation/Gender Identity
Job Type: Full-time
Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Paid time off
Referral program
Vision insurance

Experience level:

10 years

Schedule:

Monday to Friday

Work Location: Hybrid remote in Addison, TX 75001"
Data Logging Engineer,GTA (Global Technology Associates),"Plano, TX",Posted 13 days ago,From $50 an hour,https://www.indeed.com/company/GTA-(Global-Technology-Associates)/jobs/Data-Engineer-1bfe315b01b0c031?fccid=5db15845914e1098&vjs=3,"Looking for a Data Logging Engineer
What you will be doing as a Data Logging Engineer
· Perform system level log captures/analysis of several Network elements in the 4G/5G Network architecture to identify root causes of product and key performance issues.
· Document and maintain the troubleshooting steps including updating technical documentation for primary areas of responsibility
· Identify automation opportunities & implement scripts for log analysis, for discussions with external customers/internal customers
· Strong on customer support as well as data analysis of logs, etc.
· Must be able to drive for issue resolution with other Engineering team
· Initial analysis of Network KPI degradation to quantify and qualify the issue
· Be able to proactively perform Ad-hoc/periodic parameter audit, issue signature audit and SW/FW audit
· Ensure the latest ticket status ticket status is provided to the customers
· Software and patch upgrades on network element to support feature testing and issue resolution verification
· Provide 24X7 support as needed for commercial Network outages and network performance issues. Also provide technical reviews and provide support to customers as needed
What you will bring to the table as a Data Logging Engineer:
· Bachelor’s Degree in Telecommunication or Network Engineering with at least 2 years of experience in Wireless Telecom environment.
· Good knowledge of UNIX/LINUX operating systems
· Good Scripting skills using but not limited to Python, Shell or Perl
· Strong knowledge of MS office tools like Excel, power point and Word.
· Good analytical skills to investigate and evaluate trending data for issue resolution
· Good knowledge of 4G and 5G wireless network architecture concepts, RAN protocols and eNB interfaces S1-MME, S1-U is a plus
· Good knowledge of trouble ticket and knowledge management systems
· Willing to work during night to accommodate debugging involving offshore R&D teams
What you didn’t know about us:
· Competitive salary
· Health, Dental and Vision Benefits
· Short/Long Term Disability and Critical Care/Illness Protection
· Life Insurance and Retirement Plans
· Employee Assistance Program
· With this position, you will get the opportunity to work with our game changing clients and further advance your already valuable experience in the telecom industry!
We are Connectors. We thrive on ‘quality over quantity’ and put in the work building strong relationships. We create connections, discover qualities, uncover skills, and place people with accuracy. We are your true partner!We are Collaborators. You’ll be working with a wholly-owned subsidiary of Kelly and part of the Kelly Telecom division. It allows us to be as nimble and fiercely competitive as a startup while having the backing of a multibillion dollar publicly traded company which has been in business for 75 years. With direct access to hiring managers, services don’t stop at standard recruiting processes. We use our expertise to improve your application skills and provide ongoing career support.We give 24/7 Support. We are in this together. We provide around the clock availability, competitive employee benefits, and continuously check-in to make sure things are going smoothly. Check out our Glassdoor page!
Kelly Telecom is an equal opportunity employer and will consider all applications without regard to race, genetic information, sex, age, color, religion, national origin, veteran status, disability, or any other characteristic protected by law. For more information click Equal Employment Opportunity is the law.
You should know: Your safety matters! Vaccination against COVID-19 may be a requirement for this job in compliance with current client and governmental policies. A recruiter will confirm and share more details with you during the interview process.
#JobsAtKellyTelecom
Job Types: Full-time, Contract
Salary: From $50.00 per hour
Schedule:

8 hour shift

Work Location: In person"
Junior Data Engineer,HYR Global Source Inc,"Dallas, TX",Posted 27 days ago,Contract,https://www.indeed.com/rc/clk?jk=9d43667475e5d566&fccid=5d5dddb0dec55dfa&vjs=3,"Job Title - Junior Data Engineer

Location - Dallas TX Hybrid ( No Relocation )

Tax Term (W2, C2C) - W2 / C2C


Position Type(Contract/permanent) - Contract

Project Duration - Long term 12+ months




Job description -
 The candidate needs to be hungry to learn and will be working with the Data team, looking for someone who is willing to learn and is motivated to grow within.


Scripting – Python, KSH, Powershell 
Knowledge about Linux, and Windows Server Operating System 
AWS basic knowledge"
Data Engineer,Omnitech Consulting,"Plano, TX",EmployerActive 2 days ago,$50 - $60 an hour,https://www.indeed.com/company/Omnitech-Consulting/jobs/Data-Engineer-56a2e4470bb5667f?fccid=1587c0d5ad922a82&vjs=3,"About us
Omnitech Consulting LLC, a technology consulting firm dedicated to providing innovative solutions for businesses of all sizes. We work closely with our clients to understand their unique talent needs and develop customized approach and provide skilled talent that align with their business objectives.
Job Description
W2 Only, Hybrid Work at Plano TX.
The Data Engineer will be responsible for the following:

Data engineering and design, including data modeling, data cleansing, and data integration
Designing, implementing, and supporting data systems and tools to meet company’s business needs
Developing data models to support the collection, storage, analysis, and reporting of data
Implementing data integration and reporting tools to support business needs
Developing and maintaining data-driven reports and dashboards for management and internal use
Developing code that is efficient and maintainable for production use
Maintaining a strong understanding of the underlying database technologies, including SQL Server, MS SQL Server, Oracle, etc.
Working with the development team to ensure the application is built in a way that is scalable and maintainable.
Other duties as assigned.

Requirements:

Min 3 to 5 years of experience in Python
Min 3 to 5 years of experience in SQL
Min 3 to 5 years of experience in Cloud
Min 3 to 5 years of experience in ETL
Bachelor’s degree in Computer Science or related field; Master’s degree preferred. Master’s degree preferred.
5+ years of experience in a similar role.

Benefits:Omnitech Consulting offers competitive compensation based on experience.
Job Type: Contract
Pay: $50.00 - $60.00 per hour
Benefits:

Paid time off

Compensation package:

Hourly pay

Experience level:

5 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Plano, TX: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Python: 3 years (Required)
SQL: 3 years (Required)
Data warehouse: 3 years (Required)
Cloud computing: 3 years (Required)
Azure Data Lake: 3 years (Required)
Corporate finance: 3 years (Required)

Work Location: In person"
Data Engineer,"Stefanini, Inc","Dallas, TX",Posted 1 day ago,$60 - $65 an hour,https://www.indeed.com/rc/clk?jk=72eef199562b6fa5&fccid=7e646b8cb4a11b13&vjs=3,"Stefanini is looking for a Data Engineer in Dallas, TX (hybrid role). W2 only. US Citizens only


 For quick apply, please reach out to Vishal Sharma- 
Vishal.sharma@stefanini.com
 / 248.263.5616



 The team is is looking for a versatile Data Engineer who will provide data and report development services or technical support. You will develop, test, and maintain data or report solutions (data warehouse/mart/stores/data lake/reporting/analytics) using tools and programming languages. You will also develop data set processes and assist with design and identify ways to improve data reliability, efficiency, and quality. As the Data Engineer you will work independently, receive minimal guidance, and have accountability for their work and work of junior members.
 


 Responsibilities:


 Design, develop and implement data mining tools and analyses to sift through large amounts of data stored in a data warehouse or data mart to find relationships and patterns
 Be responsible for implementing the systems, processes and logic required to extract, transform, clean, and distribute data across one or more data stores from a wide variety of sources for systems with moderate complexity
 Work under general guidance and clear framework of accountability with substantial autonomy
 Use best practices and knowledge of internal or external business issues to improve products or services
 Solve complex problems; takes a new perspective using existing solutions





Required Skills:


 An associate degree, a bachelor's degree in computer science or equivalent courses
 At least 4 years of experience in Data Engineering with SQL, Python
 Experience with relational SQL and NoSQL databases
 Experience in the following Big Data frameworks: File Format (Parquet, AVRO, ORC etc.)
 At least 3 years of experience working with large data sets, streaming, experience working with distributed computing (Map Reduce, Hadoop, Hive, Apache Spark, Apache Kafka etc.)
 At least 2 years of experience with AWS cloud (with focus on Data services)
 Experience with Databricks a plus
 Experience with RESTful API development, Familiarity with HTTP and invoking web-APIs
 Working knowledge of data structures, SQL, XML, JSON, Data visualization tools, Version Control Systems, Programming, and Unix/Linux shell scripting
 Able to interpret user requirements and identify additional information needed in user requirements
 Able to see effects of current design with future requirements and see possible coding solutions to meet the requirements
 Detailed understanding of logical and physical data structures
 Highly skilled in tools, evaluates the need for various tools for continuous integration, testing, automation, deployment etc. and discuss with the team
 Highly skilled at designing tests for unfamiliar designs; Evaluates tests for weaknesses and continuously improves them
 Detailed understanding of how to effectively test against multiple tools/software
 Equivalent education and/or experience may be substituted for any of the above requirements



 ***Listed salary ranges may vary based on experience, qualifications, and local market. Also, some positions may include bonuses or other incentives.

 Stefanini takes pride in hiring top talent and developing relationships with our future employees. Our talent acquisition teams will never make an offer of employment without having a phone conversation with you. Those face-to-face conversations will involve a description of the job for which you have applied. We also speak with you about the process including interviews and job offers."
Data Engineer,Kommforcesolutions,"Dallas, TX",EmployerActive 2 days ago,$65 - $70 an hour,https://www.indeed.com/company/Kommforcesolutions/jobs/Data-Engineer-e68f8198d648ddea?fccid=b9aa8c10996bb21c&vjs=3,"Job title: Data Engineer ( USC GC )
Location: Dallas, TX ( Hybrid )
Client: Southwest Airlines
Looking for strong experience with Abinitio and AWS.
Job Type: Contract
Salary: $65.00 - $70.00 per hour
Work Location: On the road"
"Engineer, Data - Clinical Analytics",Concentra,"Addison, TX 75001",EmployerActive 3 days ago,Full-time,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDQFhFpEj8E6I-jJYIuuzBZBfxsun5AZUCGICqmkVSgTAldL_Puln30_Ys0aKNaC_COkl8j60lib1YQIRKND6PUZ4dE9dhMgCBkPIVnFC53DtbbQSJhImHsaIn2_OjICdXv87db2dbSJ5mCknb-b8LhZInLCjRMzVZoNykLnOHSLCMOI8tmJTXIS1ixoQd5RLRr3uLWCF_Av2icMBfqn-4vL14mpNp3isQZN7fDNgjZ-rf6Pgfwn91TT0bH0986l7KFLf2SYUCSgGyfztVU1EvZmeTEF3CN8rvUivJ8Cop_Y4LzE4XK2u_JDhp979lh143aoShik7tRObR09-7iy1QMbiW3okt43oEQ0Bmk484OH_3d7Qh_AkKLkf0GtRSR2vtYLtCFp0lY2bkcqYGZthNtH1KF1624LI66G_ewK-q4tTDO6HDv5ArWZ4wdYqjXoltRFOFwsvbFzgnzvMcoFBsyVDKVrSsBC1BNcHVHHxpECenKWkYOP7L_sENafuvSGMLQgykYFgVuIP6Tv9oR0ALV1KEsaeko9-ju-uUbzx2o8FMwx8Rexvq5Df8w7zXxsg8guurx9tX29q8kRf5Zhoh-6FH2jIk2XY_6-HZxN0ruDwv3QdMliHsN8pSbENxDRp6UO6eunELikerpy0BCqx2_cLYVXtkbGCWJdvF72oew-ORnUTfZ4Y5iWAZkuGfo8J6EDGcfmJKkZDzRYX5jIZBb2Ln-zCAAAyBhPltyfrPBQdJEZYIivAY8XTsTx-UKEiZHpVoGzd6CDerjtMfUtcZNz8kmYJLxdT0MSZ3agT7MugYwOaNBo75dVuPpypQcwkVJ6YiCIF_ocQ1W-NelaRUR7XNxmhsL6CclzbvBOiOiryxFUtEFOlX7UlvVBFM6bpHUe0ylWgxqHeMyHIBpk2lcvdDHPs0Q5G-xhcE-WXqzj35XGMBPl2ETl9HynkRV7Ri12EOiGytHRm_QdRbXOd0PfsOmnJIn8Ghl5hgHjd2mqRgM-PtWSz1q1T-gG-vdJhK_-LR0F6-wDRX2aldGcJhUTmvRcQYPfA=&xkcb=SoAc-_M3ML2tGex8Zx0CbzkdCdPP&p=7&fvj=0&vjs=3,"Overview: 
 
   The Data Engineer- Clinical Analytics is primarily focused on analytical processes with ability to implement database solutions and best practices in the realm of data science and machine learning projects. Essential software engineering skills with strong foundational knowledge on data movement and orchestration both on-premises and cloud environment. The Data Engineer supports and aligns with business decisions within Concentra by analyzing raw data, constructing, and maintaining data systems, and improving data quality and efficiency. Implements programming languages to develop and test architectures that enables data operations for predictive (i.e., machine learning/AI) or prescriptive modeling.
  Responsibilities: 
 
Analyze, develop, combine raw information, and maintain various data sources
 Improve data quality and efficiency to build data systems and pipelines
 Identify opportunities for data acquisition and collaborate with Application owners and Subject Matter Experts (SME) to document data domain knowledge
 Implement ETL methods to prepare both structured and unstructured data for predictive and prescriptive modeling
 Leverage data serialization techniques to meet project needs for use in various reporting platforms
 Collaborate with Business Intelligence (BI) ETL Developers/Data Architect, Data Scientists, Reporting Analysts, and Subject Matter Experts (SME) to understand business goals
 Understand enterprise project life cycle and prepare for integration and user acceptance testing methods.
 Produce technical documentation by following enterprise standards and guidelines
 Participate in relevant information-sharing activities
 Serve as escalation point for application support and troubleshooting
 Proactive identification of issues and opportunities that will have an impact on the business use of reports and ensure managerial awareness
 Daily review outstanding issues to assure that troubleshooting and resolutions are current
 Ensure all changes comply with change management policies and procedures
 This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.
 Qualifications: 
  Education Level: Bachelor’s Degree
 Major: Computer Science or Computer Engineering
 Degree must be from an accredited college or university

 Job-Related Experience
 Customarily has at least the following experience:

 Customarily has at least three or more years in Software development / Data-Centric pipelines / Model-Centric pipelines
 Relational Database experience
 Documentation and publication


 Job-Related Skills/Competencies

 Concentra Core Competencies of Service Mentality, Attention to Detail, Sense of Urgency, Initiative and Flexibility
 Ability to make decisions or solve problems by using logic to identify key facts, explore alternatives, and propose quality solutions
 Outstanding customer service skills as well as the ability to deal with people in a manner which shows tact and professionalism
 The ability to properly handle sensitive and confidential information (including HIPAA and PHI) in accordance with federal and state laws and company policies
 Strong SQL development and performance tuning skills
 Competencies with Oracle, SQLServer, SSIS, Sybase, NoSQL, Python, Azure, Docker, Git, and Visual Studio
 Experience with Data Lakes, Lake Houses, and ELT is preferred
 Experience with Azure ML, Azure Data Factory, Azure Data Bricks, Azure Data Flow, and Azure Functions is preferred
 Concentra Core Competencies of Service Mentality, Attention to Detail, Sense of Urgency, Initiative and Flexibility
 Ability to make decisions or solve problems by using logic to identify key facts, explore alternatives, and propose quality solutions
 Outstanding customer service skills as well as the ability to deal with people in a manner which shows tact and professionalism
 The ability to properly handle sensitive and confidential information (including HIPAA and PHI) in accordance with federal and state laws and company policies
 Highly organized
 Communication skills to be able to effectively speak and write in a clear and professional manner
 Skilled at listening and providing feedback
 Additional Data: 
 

 Employee Benefits


 401(k) Retirement Plan with Employer Match
 Medical, Vision, Prescription, Telehealth, & Dental Plans
 Life & Disability Insurance
 Paid Time Off
 Colleague Referral Bonus Program
 Tuition Reimbursement
 Commuter Benefits
 Dependent Care Spending Account
 Employee Discounts





     We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation, if required.
   


 *This job requires access to confidential and sensitive information, requiring ongoing discretion and secure information management*
   


 Concentra is an Equal Opportunity Employer, including disability/veterans"
Data Engineer,OneSource Regulatory,"Dallas, TX",Posted 30+ days ago,Full-time,https://www.indeed.com/rc/clk?jk=ace7d2b8833db496&fccid=13c11dac3d323b9a&vjs=3,"Company Introduction
 OneSource Regulatory Technology hosts a number of innovative solutions to enhance job performance in the Pharmaceutical space. OSR Technology is looking for an experienced and dedicated data engineer to join our product solutions team!

 
Job Description
 OneSource Regulatory is trying to identify a full-time contractor with at least 4+ years of experience to assist us with ongoing R&D projects.
 We are looking for a data engineer to pull data from various sources and do all the necessary steps to clean, normalize, possibly annotate, and finally load the data into databases. The candidate should be able to develop and implement a strategy for testing the data integrity of the collected data. This role requires extreme attention to detail to ensure data quality is top priority.

 Responsibilities

Well versed in parsing and synthesizing of XML and/or JSON documents.
Curating of data that can involve some intermediate to advanced web scraping. (data may need to be fetched via SFTP, FTP, Wget, Curl, REST APIs, GraphQL queries from spots on the Internet)
Proficiency with Linux command line and various simple tools, such as grep, wc, sed, awk, find, ls, cat, piped commands and possibly some very light Bash shell scripting, setting up crontab schedules and programs
Must have basic knowledge of SQL with the following databases: PostGres, MySQL, Google BigQuery
Must have basic knowledge of No-SQL database knowledge such as MongoDB or similar
Familiarity with basic Cloud technology such as storage buckets, cloud serverless functions
Must have experience extracting text and images from PDF files
Knowledge of Puppeteer or other automatable web client technologies
Understanding JavaScript, HTML/CSS and HTTP methods (for understanding page structure for web scraping)


Skills

Solid experience with Python and Python Libraries such as Pandas, requests, etc
Skill set should match up with required responsibilities listed above
Strong English skills (e.g. grammatical analysis and rhetorical structure)
Team Player
Great communication skills



 Bonus Skills

Experience within the Pharmaceutical Space
Ability to expose data via C# NETCore and/or GraphQL
Google Cloud Platform (Cloud Buckets, Google Cloud Functions (.NET, Python, Node.JS))
Ability to parallelize data manipulation and scraping via Python multi-threading, etc.
Python BeautifulSoup
Scrapy
Docker (setting up Kubernetes style processing if warranted for data scraping/data ingestion/normalization)
Multithreading concepts"
Data Engineer,CVS Health,"Irving, TX",PostedToday,"$70,000 - $140,000 a year",https://www.indeed.com/rc/clk?jk=54cac3fbc10da31b&fccid=be3b11aa573faee7&vjs=3,"Assists in the development of large-scale data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs 
 
 Applies understanding of key business drivers to accomplish own work 
 
 Uses expertise, judgment and precedents to contribute to the resolution of moderately complex problems 
 
 Leads portions of initiatives of limited scope, with guidance and direction 
 
 Writes ETL (Extract / Transform / Load) processes, designs database systems and develops tools for real-time and offline analytic processing 
 
 Collaborates with client team to transform data and integrate algorithms and models into automated processes 
 
 Uses knowledge in Hadoop architecture, HDFS commands and experience designing & optimizing queries to build data pipelines 
 
 Uses programming skills in Python, Java or any of the major languages to build robust data pipelines and dynamic systems 
 
 Builds data marts and data models to support clients and other internal customers 
 
 Integrates data from a variety of sources, assuring that they adhere to data quality and accessibility standards
 

Pay Range
 The typical pay range for this role is:
  Minimum: 70,000
  Maximum: 140,000
 
 This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above. 
 
 In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies. 
 
 For more detailed information on available benefits, please visit
  jobs.CVSHealth.com/benefits
 Required Qualifications
 1+ years of progressively complex related experience 
 
 Experience with bash shell scripts, UNIX utilities & UNIX Commands
 

Preferred Qualifications
 Ability to leverage multiple tools and programming languages to analyze and manipulate data sets from disparate data sources 
 
 Ability to understand complex systems and solve challenging analytical problems 
 
 Strong problem-solving skills and critical thinking ability 
 
 Strong collaboration and communication skills within and across teams 
 
 Knowledge in Java, Python, Hive, Cassandra, Pig, MySQL or NoSQL or similar 
 
 Knowledge in Hadoop architecture, HDFS commands and experience designing & optimizing queries against data in the HDFS environment 
 
 Experience building data transformation and processing solutions 
 
 Has strong knowledge of large-scale search applications and building high volume data pipelines
 

Education
 Bachelor's degree or equivalent work experience in Computer Science, Engineering, Machine Learning, or related discipline 
 
 Master’s degree or PhD preferred
 

Business Overview
 Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities."
