job_title,company,job_location,post_date,salary,job_url,job_description
Data Quality Engineer - All-Payor Claims Database - Hybrid,UTHealth Houston,"Hybrid remote in Houston, TX",EmployerActive 2 days ago,"$80,748 - $121,140 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B0WYpsfFdlHnzkaod_43XUfc-xLBay7Qn_M2_P6Smr4FgZna4v5OdiEQqbcAGbWm2NqwI9EJrQiIzvyIGqgfawj9RWsEoVSCL7tJNaSZcWUf-rPw9sK7tgbUL4Lx609zZFJzIjvqchEFXvZ7PUMGlHSZImfONDnFkK-HG7cOjjB8c8gmOwBL6-2bVaqWgrov8V47MeRBbv3mTbhLFn-_YnW5aYQiFfsFSlA5qyX_n9dwOSYFnT9tmStNFH2wYuiLoZl3g4qbJID87o9gRdC7XQnG39Hl92-CcBUHmR62yeqse2JWkX3A_huqRNsQFDOF5eDPv2dtla_MjfHjseOYElJILlwcqe6j8hXmraxlF9Ih0vr9KSRNrcpbxtt8mknck4uav9Brb-UaKSDYtpmi6P5jOK92_3VilI3g0q5YZM-kytDEauO_UIMokOpTHFz4XQ5YmNPanzLEysrd1wRyyw7S3msOOD6ZUog_imWLvWgmunfA4VPyRPb1keZNPEJ6o0eJSiXdUE3z-uMXtKLx9liQ21jMTacCV5DHYeSgbSqN2wN8iX8C5m68lNT9duD-Q=&xkcb=SoAD-_M3MLz6rT3-5x0LbzkdCdPP&p=0&fvj=1&vjs=3,"What we do here changes the world. UTHealth Houston is Texas’ resource for healthcare education, innovation, scientific discovery, and excellence in patient care. That’s where you come in.We are seeking a Full-Time Data Quality Engineer to join the UTHealth Center for Healthcare Data as part of the School of Public Health in Houston, TX 77030. This is a hybrid position that requires the employee to reside in Texas. In this position, you will join a fantastic team that strives to make a meaningful difference in the quality of data available to researchers doing innovative healthcare research. The Data Quality Engineer is a skillful team player with a clear track record of transforming big data into actionable insights, which leads to improvements in data quality and associated standards and processes. This individual is a deliberate and systematic scientist who can clearly articulate the goals of the data quality program, practice with rigor and precision, and maintain a balanced/independent point of view to achieve targeted data quality standards.Once you join us you won't want to leave. It’s because we reward our team for the excellent service they provide. Our total rewards package includes the benefits you’d expect from a top healthcare organization (benefits, insurance, etc.), plus:

100% paid medical premiums for our full-time employees
Generous time off (holidays, preventative leave day, both vacation and sick time – all of which equates to around 37-38 days per year)
The longer you stay, the more vacation you’ll accrue!
Longevity Pay (Monthly payments after two years of service)
Build your future with our awesome retirement/pension plan!

We take care of our employees! As a world-renowned institution, our employees’ wellbeing is important to us. We offer work/life services such as...

Free financial and legal counseling
Free mental health counseling services
Gym membership discounts and access to wellness programs
Other employee discounts including entertainment, car rentals, cell phones, etc.
Resources for child and elder care
Plus many more!

Position Summary:The Data Quality Engineer is a skillful team player with a clear track record of transforming big data into actionable insights which lead to improvements in data quality and associated standards and processes. This individual is a deliberate and systematic scientist who can clearly articulate the goals of the data quality program, practice with rigor and precision, and maintain a balanced/independent point of view to achieve targeted data quality standards. Applies the principles of data quality across a range of data sets and their intersection, including but not limited to administrative claims, electronic health records, social determinants of health data sets, and others. It is essential for this person to be a very effective communicator who can evangelize data quality standards throughout the organization.Position Key Accountabilities:

Uses a variety of tools and techniques to develop a suite of data quality metrics which provide benchmarks for assessing data quality both at points in time and across periods of time leveraging key elements of the Patient Demographic Data Quality (PDDQ) Framework developed by the Office of the National Coordinator for Health IT (ONC).
Plans, implements and is responsible for maintaining a metadata management program using the Common Data Layout (CDL) based on CDL specifications published by the APCD Council/NAHDO including standardized definitions of data attributes and associated documentation designed for broad consumption.
Builds quality measurement and scoring models and monitoring frameworks which allow for the proactive and automated assessment of quality across diverse data sets including administrative, clinical, and social determinants of health data when applicable. Conducts periodic assessments and drives processes for continuous improvement.
Applies a variety of methods based on standards and metrics to review and improve data acquisition and data management processes such as statistical analysis, machine learning, data mining, predictive analytics, time series analysis, multivariate regression analysis, statistical process control and optimization solutions.
Collaborates with the Data Linkage Scientist and other team members to improve Master Person Index (MPI), Master Provider Registry (MPR), and other link index match rates.
Performs as a results-oriented problem solver to quickly synthesize complex scenarios, conduct root cause investigations, apply appropriate methods, and plan/implement practical and timely solutions.
Serves as a champion for data quality throughout the organization using a collaborative approach to fully realize the talents of colleagues such as data stewards, IT staff, business analysts, business stakeholders and industry experts.
Interfaces and collaborates with all other functions within the organization and with data submitters on quality-related issues.
Performs other duties as assigned.

Certification/Skills:

Mastery of data discovery and data profiling techniques and tools.
Familiarity with health care claims data and associated X12 knowledge
Ability to influence and collaborate broadly within the organization as a data quality champion
Proficiency with statistical packages, databases and programming languages for data preparation, storage, transformation, analysis or visualization. Examples include R, SAS, STATA, SQL, Python, PySpark, Tableau, Excel and other big data frameworks.
Ability to work with a wide variety of large dataset formats/sources such as relational databases, Parquet, ORC, XML, JSON, CSV, streams and geolocation
Effective communication skills including written, oral, listening and interpersonal.

Minimum Education:

Master's degree in mathematics, engineering, informatics, or a related field.

Minimum Experience:

Three (3) years of enterprise experience as a data scientist, informaticist, senior analyst or related role.
Five (5) years of relevant data analysis experience.

Physical Requirements: Exerts up to 50 pounds of force occasionally and/or up to 20 pounds frequently and/or up to 10 pounds constantly to move objects. Security Sensitive: This job class may contain positions that are security sensitive and thereby subject to the provisions of Texas Education Code § 51.215 Residency Requirement: Employees must permanently reside and work in the State of Texas.
Job Type: Full-time
Pay: $80,748.00 - $121,140.00 per year
Education:

Bachelor's (Required)

Experience:

 Linux-based Pythonic environment: 3 years (Required)
continuous integration/deployment, source code management, or quality assurance: 2 years (Required)"
Data Engineer with Python,TekValue IT Solutions,"Houston, TX 77002 (Midtown area)",EmployerActive 2 days ago,$60 - $65 an hour,https://www.indeed.com/company/TekValue-IT-Solutions/jobs/Data-Engineer-37f0bc3f679fac13?fccid=dd0695607f4cb8d3&vjs=3,"Requirements:
8-10 Required Experince on Data Engineer and Revalent Skills
Experience with NoSQL (MongoDB)
Experience with API'S
Good Knowledge on Data Migration like Oracle to Mongo db
Experience with Python Programming
Job Type: Contract
Salary: $60.00 - $65.00 per hour
Experience level:

10 years
9 years

Schedule:

8 hour shift

Ability to commute/relocate:

Houston, TX 77002: Reliably commute or planning to relocate before starting work (Required)

Experience:

Python: 9 years (Required)
Data Engineer: 8 years (Required)
Pyspark: 6 years (Required)
Oracle Database: 6 years (Required)

Work Location: In person"
Data Engineer,Suvida Healthcare,"Houston, TX 77027 (River Oaks area)",Posted 30+ days ago,,https://www.indeed.com/rc/clk?jk=8bc8eecdd9551297&fccid=6a2b0db8eb92fae8&vjs=3,"Suvida Healthcare is a neighborhood-centric, multidisciplinary primary care program built to address the physical, behavioral, social, and cultural needs of the underserved Medicare-eligible Hispanic population. Multigenerational in design, Suvidas differentiated approach will enable us to deliver on the quadruple aim, improving health outcomes as well as consumer and employee experience while lowering total cost of care. Suvida will thoughtfully cultivate an empathetic and service-centric environment, positioning us not only as a best-in class health care provider, but also as the provider of choice for our patients, their families, and the community at large.

 Our Purpose
 We are an empowered primary care team creating health equity through an exceptional clinical and consumer experience that improves the quality of life for the people, families, and the neighborhoods we serve.
 Our Vision
 To improve the quality of life for underserved people and those that care for them in neighborhoods across America.

 Job Summary

 Job Summary:
 We are seeking a skilled Data Engineer to design, develop and maintain data pipelines and systems that facilitate the efficient and reliable processing of large amounts of data. The Data Engineer will be responsible for ensuring the optimal performance of our data infrastructure and implementing appropriate data governance and security measures.


 Responsibilities:
 Design, develop, and maintain data pipelines and systems that enable the efficient and reliable processing of large amounts of data


 Ensure the optimal performance and scalability of data infrastructure through effective monitoring, tuning, and troubleshooting
 Work with Data Scientists and Analysts to understand their data requirements and design appropriate solutions that meet their needs
 Develop and maintain data governance and security policies and procedures to ensure the integrity and confidentiality of sensitive data
 Collaborate with cross-functional teams to identify and implement data-related improvements to business processes.
 Implement and maintain data integration solutions that enable the integration of data from various sources into a unified view.


 Develop and maintain documentation of data architecture and processes.
 Hands on experience working with cloud technologies and solutions, with preferred depth in Azure services.
 Ability to successfully execute proof of concept projects and implement new technologies.
 Passion and understanding of new technology and trends including database and analytics technologies, data science, AI and machine learning. Desire and willingness to continuously improve those skills and knowledge.
 Creative and innovative mindset with the ability to drive to outcomes.


 Strong analytical ability - understanding complex technology solutions and how they interrelate with other technologies and business drivers across the enterprise.
 Ability to work with ambiguity and organize requirements to identify options.
 Ability to build productive relationships and collaborate with partners and stakeholders.

 Qualifications:

 Bachelor's degree in Computer Science, Information Technology, or related field
 Proven experience as a Data Engineer, with expertise in designing and implementing data pipelines and systems.
 Strong programming skills in Python, Java, Scala, or other languages commonly used in data engineering.
 Experience with big data technologies such as Hadoop, Spark, or Azure data lake


 Familiarity with data warehousing concepts and technologies such as Redshift, Snowflake, Oracle or Azure Synapse
 Knowledge of SQL and database management systems (DBMS)
 Strong problem-solving and analytical skills, with the ability to work independently and in a team environment.
 Excellent communication and collaboration skills
 If you meet these requirements and are passionate about working with data, we encourage you to apply for this exciting opportunity as a Data Engineer.

 Physical Demands
 While performing the duties of this job, the employee is required to sit for prolonged periods of time, stand, walk, talk, hear, and reach with hands and arms. Hand eye coordination is necessary to operate computers and other office equipment; must be able to operate a motor vehicle. When representing Suvida Healthcare at external events, the Data Engineer is also required to stand for prolonged periods of time, kneel, crouch, bend and lift, and be able to move up to 30 pounds. The work environment characteristics described here are representative of those employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions."
Data Engineer - People Insights,HP,"Spring, TX 77389",Posted 6 days ago,Full-time,https://www.indeed.com/rc/clk?jk=df1b598212f976bf&fccid=1b866506aec22461&vjs=3,"The People Insights team at HP is looking for an experienced Data Enablement Engineer to support the build, design, and development of analytics products and platforms. Specifically this role will focus on platform enablement through data modelling, data orchestration, data pipeline, front end feature enablement, API & connection configuration, calculation development and documentation, and tools and technology implementations.

 Responsibilities:

 Design, develop, and create reporting, analytics, and data orchestration capabilities using applications such as Microsoft Product Stack (Azure,PowerBI), Databricks, Altyryx, Amazon Redshift etc.
 Advises and makes recommendations around building or buying solutions for the following topics: Data model storage and maintenance, data processing layers, data aggregation and data management, and advanced analytics enablement.
 Responsible for making recommendations on ongoing tools and technology selection for People Insights solutions development.
 Responsible for establishing connectivity and enablement between back-end databases and front- end solutions for example ODBC, WebConnector (RaaS), or API development.
 Develop, manage, and maintain centralized dimensional data model for core workforce data at HP.
 Responsible for connecting and operationalizing disparate people data models from across the organization.
 Responsible for testing and solutioning embedded analytics from sources not integrated into core dimensional modelling.
 Presenting written recommendations, requirements, and insights through the addition of technology platforms and net new data sources.
 Build, maintain, and document centralized calculation library (Calculation Language: DAX).
 Creates and maintains documentation for data orchestration.


 Experience & Qualifications:

 7-10 years of experience working in large complex global organization with responsibilities including data warehousing and business intelligence data, techniques, and technology.
 7-10 years working with Business Intelligence (data visualization and reporting) tools and technology, specifically in the space of data orchestration (dataflows, datasets, data marts, business objects, security provisioning) and dimensional modelling.
 Experience implementing solutions using full Microsoft Power Platform considered an asset.
 High level of proficiency working with complex effective dated transactions, change data capture, and slowly changing dimensions.
 High level of proficiency working with DAX or equivalent language to prepare complex and custom calculations and measures.
 Exposure to the application of Python, R, SQL for the purposes of statistical analytics, data querying and or process enhancement.
 Experience supporting full cycle technology implementations in a large complex organization.
 Exposure to the field of People Insights/Analytics considered an asset.
 Required post secondary education in the field of computer, information science, or statistics.



 About HP





  You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.
 

   So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.
 



   HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.
 



   Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.
 

   From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!"
Data Engineer - Architecture,Vantage Point Consulting,"Remote in Houston, TX",Posted 20 days ago,Contract,https://www.indeed.com/rc/clk?jk=750947a4861e2e75&fccid=5b5ea8923be4052d&vjs=3,"Location: Chicago or Houston or Remote
  
Duration: 6+ months contract
  

Job Description:


United is modernizing the functionality and the user experience to enable the logistical shipment and receiving of parts required for scheduled aircraft maintenance events.
This will enable United to have the right parts, at the right place and at the right time to provide maintenance to aircraft.
AOG and BMC operate from over 15 stand-alone applications and rely on emails to channel requests and information, which impacts situational awareness and status resulting in delayed decision-making and oversights, that with time are costly to the operation.
This project will modernize the experience and provide United with the tools needed to facilitate decisions and provide transparency in tracking where parts are at in the procurement and shipping process.
Need someone that has the ability to work in both a technical and functional capacity on the team
From a technical standpoint creating a data structure to support the data functions but could control the data aspect. Want them more technical in nature they are able to create an appropriate data structure with multiple inputs and outputs and helping with the data services and pieces 
Need someone self-sufficient and has experience interacting with the business team to understand the structure of the project


Top Skills


Data Mining, Architecting and Modeling
Highly proficient in SQL and nice to have is comfortable with foundry or frontier 
Data Analysis and Design Solutions
PostgresSQL – Need Experience with AWS 
Creating the architecture step above a data analysis creating new data structure and architecture 
Design Solutioning 
Ability to develop user stories 
Familiarity with Supply chain Data - Pyramids or branch of supply chain"
Data Engineer,Integration Developer Network LLC,"Houston, TX 77002 (Fourth Ward area)",Posted 30+ days ago,$65 - $70 an hour,https://www.indeed.com/company/Integration-Developer-Network/jobs/Data-Engineer-f1864bf4bc02aba6?fccid=6af1cd9d656e6476&vjs=3,"Required Skills:
Experience with Oracle
Experience with Semi store Database/ Mysql Database
Experience with Python Programming
Job Type: Contract
Pay: $65.00 - $70.00 per hour
Experience level:

8 years

Schedule:

8 hour shift

Ability to commute/relocate:

Houston, TX 77002: Reliably commute or planning to relocate before starting work (Required)

Experience:

Mysql Database: 6 years (Required)
Oracle: 8 years (Required)
Python: 8 years (Required)

Work Location: In person"
Data Engineer,Southwestern Energy (SWN),"Spring, TX 77389",EmployerActive 9 days ago,Full-time,https://www.indeed.com/company/Southwestern-Energy-(SWN)/jobs/Data-Engineer-fdadc985c29bcc70?fccid=38fcc1e69ff6b897&vjs=3,"Southwestern Energy is searching for a Data Engineer to join our Corporate IT team.
You will analyze user needs and develop solutions to support data science workflows, data and application integrations, analytics platforms, or specialized utility programs with the aim of optimizing operational efficiency while adhering to appropriate data quality and data governance principles. You will work individually and coordinate database development as part of a team and lead small to medium projects and assists on large projects. Functions as primary support for all solutions in one or more discipline(s) and secondary support for multiple solutions in related disciplines. You will report to the BIS Manager and the position is located at our headquarters in Spring, TX.
To be successful in this role you will:

Write, analyze, review, and rewrite programs, using workflow charts and diagrams, and applying knowledge of computer capabilities, subject matter, and symbolic logic.
Perform revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.
Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.
Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.
Develop and perform software system testing and validation procedures.
Store, retrieve, and manipulate data for analysis of system capabilities and requirements.
Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.
Coordinate software system installation and monitor equipment functioning to ensure specifications are met.
Consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems.
Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.
Participate in on-call and after-hours support, including weekends and holidays.
Lead medium projects as defined by scope

Qualifications - External
Your Background includes:

Bachelor of Science degree in computer science, engineering, or management of information systems is preferred.
Minimum of 5 years of software development experience
Experience creating dashboards and analysis using tools such as Microsoft PowerBI, TIBCO Spotfire, Tableau, etc. is required.
Experience querying and developing Oracle and Microsoft SQL Server databases is required.
Experience integrating data using ETL technologies such as Informatica, Dell Boomi, Microsoft SSIS/DTS, etc. is required.
Experience integrating applications using APIs and scripting languages. Python/R is a plus.
Knowledge of WellView, SiteView, Enertia, and other upstream oil and gas systems is a plus.
Ability to communicate ideas in both technical and user-friendly language
Strong customer focus mindset

Job Type: Full-time
Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Ability to commute/relocate:

Spring, TX 77389: Reliably commute or planning to relocate before starting work (Required)

Work Location: In person"
Data Engineer,TheRIIM LLC,"Houston, TX",Posted 30+ days ago,Full-time,https://www.indeed.com/rc/clk?jk=82824d0546a1efbf&fccid=8b525a8d0577c714&vjs=3,"Company Description
  Client is in Banking & financial domain.



 Job Description
  Job Description Summary

 Summary: As data engineer, you will join the Data, Analytics and Reporting team. Our goal is to help the business we support unlock the full potential of their data. In this role, you will design, implement and support data and analytics solution using a broad range of technologies including Hadoop, Spark, AWS and various NoSQL databases.  Description: We are looking for individuals who are passionate about data and take pride in delivering high quality software. As data engineer, you will join the Data, Analytics and Reporting team. Our goal is to help the business we support unlock the full potential of their data. In this role, you will design, implement and support data and analytics solution using a broad range of technologies including Hadoop, Spark, AWS and various NoSQL databases. You’ll bring your in-depth knowledge of big data technologies best practice and a desire to work in a DevOps environment.





 Qualifications
  Your technical capabilities will include: 

To excel in this role, you will be:
 highly proficient in Hadoop and related technologies including HDFS, Spark, Impala and Hive
 highly proficient in Java, Scala and/or Python
 proficient in AWS including S3, Redshift, EKS, IAM and EC2
 experienced with Linux
 experienced with data modelling
 experienced with CI/CD
 familiar with AWS including S3, IAM and EC2
 proactive and have great communication skills

 Additional Information
  Selection process includes Code exercise.."
Subsurface Data Engineer,Shell,"Houston, TX",Posted 30+ days ago,Full-time,https://www.indeed.com/rc/clk?jk=e4110a76eb545f9c&fccid=167aa4ca2fe7d8e6&vjs=3,"The Role

Subsurface Data Management is helping Shell execute a strategy of moving from Epicure to OSDU. At the same time Shell has unleashed multiple digitalization efforts that require large volumes of SSW data.
 You’ll will be responsible for finding new ways to help Subsurface Data Management execute upon the strategic movement of SSW data to a new platform (Point C), providing opportunities to unlock value from data now (Point B), and post Point C (once OSDU is deployed).
 Your success in this role will flow not only from your technical abilities, but your capacity to manage leaders across natural teams and convince them of the business value to your approaches.
 Where you fit in

 The Integration team is part of the Integration and Seismic Data management team under the GM Subsurface Data Management & WF in the Upstream Subsurface Digital and Data VP-ship.
 The Integration Team works with the business and IT to improve the data landscape with ambitious and realistic plans and have a track record integrating on-premise and cloud systems in a way that delivers business value in the Point B and C timelines.
 You will help the business find fast and lower-cost ways to deliver the data required to optimize digital solutions, accelerate global scaling and value replication, and enable innovative ways of working.

 What is the role
 As a member of this team, you will have the following key responsibilities:

 Assist program and project teams (e.g. X-Digi/Data, (O)SDU and Subsurface Data Management) virtualize and integrate their data in order to deliver upon the tactical and strategic goals from those programs and projects.

 Utilize your knowledge of source systems and project needs to become a liaison between the business and Shell IT.
 Utilize your knowledge of cloud tooling to negotiate with Shell Architects on the positioning of new technology in SSW data flows. This is convincing IT Stakeholders of the validity of our technical solutions.

 Convey to management, programs and projects the business value of our approach to integration. This is convincing the business of the value of our solutions.

 Work scope requires business domain knowledge and technical TIDM knowledge with demonstrable passion for identifying, developing, and deploying new ideas and ways of working. Within this role there will be significant interaction with leaders of programs, projects, IT and Subsurface Data Management, your ability to convey your technical knowledge and how it enables business value will be key to your success.

 What we need from you

 You will bring an open and external mindset with a sense of urgency to drive strategic SSW data integration improvements. You will collaborate and work across organizational boundaries and help develop a collaborative natural team with the business stakeholders.

 Requirements: 

Must have legal authorization to work in the US on a full-time basis


 You have:


 6+ years in a Technical Data Management Role Or proven experience leading projects within Technical Data Management programs. Or proven experience in a relevant data engineering or data science program of project.
 An appetite to discover new technology solutions to improve our technical data workflows that transform our ways of working.
 Experience with AWS services, or Azure equivalents.
 Programming skills utilized in the data science domain (e.g. Python).
 Self-starting and self-managed. You will need to move from requirements to a decomposed set of work (user stories) and deliver that work in 2-week increments (sprints).
 Be able to convey to Product Owners, Program Managers, Chief Data Officers, and Architects the “why” and “how” of your approach to delivering work.
 Be able to convey the business value of proposed solutions to Product Owners, Program Managers, CDOs and Architects when proposing solutions to work, or responding to challenges.
 Knowledge, or experience with, data virtualization tools, especially Denodo would be beneficial.


 Company description 
Shell is a global group of energy and petrochemical companies with about 84,000 employees across more than 70 countries. We aim to meet the world’s growing need for more and cleaner energy solutions in ways that are economically, environmentally, and socially responsible. We have expertise in exploration, production, refining and marketing of oil and natural gas, and the manufacturing and marketing of chemicals.

 As a global energy company operating in a challenging world, we set high standards of performance and ethical behaviors. We are judged by how we act and how we live up to our core values of honesty, integrity, and respect for people. Our Business Principles are based on these. They promote trust, openness, teamwork, and professionalism, as well as pride in what we do and how we conduct business.

 Building on our core values, we aspire to sustain a diverse and inclusive culture where everyone feels respected and valued, from our employees to our customers and partners. A diverse workforce and an inclusive work environment are vital to our success, leading to greater innovation and better energy solutions.

 An innovative place to work
 There’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.

 Join us and you’ll add your talent and imagination to a business with the power to shape the future – whether by investing in renewables, exploring new ways to store energy, or developing technology that helps the world to use energy more efficiently.

 An inclusive place to work
 To power progress together, we need to attract and develop the brightest minds and make sure every voice is heard. Here are just some of the ways we’re nurturing an inclusive environment – one where you can express your ideas, extend your skills, and reach your potential.


 We’re creating a space where people with disabilities can excel through transparent recruitment process, workplace adjustments and ongoing support in their roles. Feel free to let us know about your circumstances when you apply, and we’ll take it from there.
 We’re closing the gender gap – whether that’s through action on equal pay or by enabling more women to reach senior roles in engineering and technology.
 We’re striving to be a pioneer of an inclusive and diverse workplace, promoting equality for employees regardless of sexual orientation or gender identity.
 We consider ourselves a flexible employer and want to support you finding the right balance. We encourage you to discuss this with us in your application.


 A rewarding place to work
 Combine our creative, collaborative environment and global operations with an impressive range of benefits and joining Shell becomes an inspired career choice.

 We’re huge advocates for career development. We’ll encourage you to try new roles and experience new settings. By pushing people to reach their potential, we frequently help them find skills they never knew they had, or make career moves they never thought possible.




Disclaimer 


    Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date. Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Shell/Shell Group companies around the world. The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand. Shell participates in E-Verify. All qualified applicants will receive consideration for employment without regard to race, color, sex, national origin, age, religion, disability, sexual orientation, gender identity, protected veteran status, citizenship, genetic information or other protected status under federal, state or local laws. Shell is an Equal Opportunity Employer - Minorities/Females/Veterans/Disability. As a US Federal Contractor, hiring selections are subject to periodic audit review and documentation of your selections should be maintained for a period of three calendar years. It is the policy of Shell in the U.S. (“Shell”) to provide equal opportunity to all individuals, employees and all qualified applicants for employment consistent with employment requirements and qualifications. Shell prohibits discrimination based on race, color, sex, national origin, age, religion, disability, sexual orientation, gender identity, veteran status, citizenship, genetic information, or other protected status under federal, state or local laws. All employees are expected to support this policy and contribute to an environment of equal opportunity. If you need an accommodation for a disability during the resourcing process, please speak with an HR representative."
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Houston, TX 77004 (Midtown area)",EmployerActive 28 days ago,$65 - $75 an hour,https://www.indeed.com/company/Integration-Developer-Network/jobs/SQL-Developer-43cf3a11e94a0059?fccid=6af1cd9d656e6476&vjs=3,"Recent pl/sql development work experience with Oracle 19
Must have working experience with tools like Airflow, Git
Must have python coding experience and REST API development experience
Plus would be experience with microservices, docker, Kubernetes
Plus would be experience with accounting and financial data
Job Type: Contract
Pay: $65.00 - $75.00 per hour
Ability to commute/relocate:

Houston, TX 77001: Reliably commute or planning to relocate before starting work (Required)

Experience:

Python: 3 years (Required)
PL/SQL: 8 years (Required)

Work Location: In person"
